Растение (RU)	Штамм бактерии	BacDive ID	Род бактерии	Оптимальная Т (°C)	Класс опасности (BSL)	Источник изоляции	Источник базы
Горох	Bacillus licheniformis	699	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	686	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	23616	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	23615	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	22912	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	130860	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	130859	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	130167	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	130166	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	130165	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	131627	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	158839	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	158838	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	157593	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	169170	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	169169	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	169168	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus licheniformis	169167	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus luti	140965	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus methanolicus	1231	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mobilis	140964	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1098	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1097	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1096	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1101	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1100	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	1099	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	131050	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mojavensis	131049	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23641	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23640	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23639	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23638	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23637	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23643	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus mycoides	23642	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus nitratireducens	140967	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pacificus	140961	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus paranthracis	140960	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus proteolyticus	140966	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	781	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	780	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	779	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	778	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	777	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	776	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	775	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	774	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	773	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	772	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
