source	plant	plant_latin	bacterium	genus	evidence_type	evidence_score	condition	mechanism	reference	description
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			705	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			704	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			703	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			702	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			701	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			700	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			699	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			686	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			23616	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			23615	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			22912	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			130860	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			130859	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			130167	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			130166	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			130165	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			131627	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			158839	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			158838	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			157593	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			169170	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			169169	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			169168	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus licheniformis	Bacillus	database	1.0			169167	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus luti	Bacillus	database	1.0			140965	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus methanolicus	Bacillus	database	1.0			1231	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mobilis	Bacillus	database	1.0			140964	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1098	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1097	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1096	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1101	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1100	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			1099	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			131050	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mojavensis	Bacillus	database	1.0			131049	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23641	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23640	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23639	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23638	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23637	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23643	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus mycoides	Bacillus	database	1.0			23642	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus nitratireducens	Bacillus	database	1.0			140967	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus pacificus	Bacillus	database	1.0			140961	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
